country_code,country_name,year,life_expectancy_years
ETH,Ethiopia,2024,67.603
ETH,Ethiopia,2023,67.315
ETH,Ethiopia,2022,66.897
ETH,Ethiopia,2021,65.33
ETH,Ethiopia,2020,65.969
ETH,Ethiopia,2019,65.741
ETH,Ethiopia,2018,65.257
ETH,Ethiopia,2017,64.766
ETH,Ethiopia,2016,64.162
ETH,Ethiopia,2015,63.592
GHA,Ghana,2024,65.695
GHA,Ghana,2023,65.498
GHA,Ghana,2022,65.246
GHA,Ghana,2021,64.286
GHA,Ghana,2020,64.309
GHA,Ghana,2019,64.455
GHA,Ghana,2018,64.138
GHA,Ghana,2017,63.829
GHA,Ghana,2016,63.522
GHA,Ghana,2015,63.175
KEN,Kenya,2024,63.834
KEN,Kenya,2023,63.646
KEN,Kenya,2022,63.549
KEN,Kenya,2021,61.225
KEN,Kenya,2020,61.596
KEN,Kenya,2019,62.939
KEN,Kenya,2018,62.825
KEN,Kenya,2017,62.725
KEN,Kenya,2016,62.526
KEN,Kenya,2015,62.279
MOZ,Mozambique,2024,63.797
MOZ,Mozambique,2023,63.611
MOZ,Mozambique,2022,63.011
MOZ,Mozambique,2021,60.268
MOZ,Mozambique,2020,61.39
MOZ,Mozambique,2019,61.306
MOZ,Mozambique,2018,60.79
MOZ,Mozambique,2017,60.148
MOZ,Mozambique,2016,59.455
MOZ,Mozambique,2015,58.711
MWI,Malawi,2024,67.561
MWI,Malawi,2023,67.353
MWI,Malawi,2022,66.037
MWI,Malawi,2021,64.782
MWI,Malawi,2020,65.216
MWI,Malawi,2019,64.995
MWI,Malawi,2018,64.464
MWI,Malawi,2017,63.914
MWI,Malawi,2016,63.163
MWI,Malawi,2015,62.324
NGA,Nigeria,2024,54.635
NGA,Nigeria,2023,54.462
NGA,Nigeria,2022,54.079
NGA,Nigeria,2021,53.455
NGA,Nigeria,2020,53.072
NGA,Nigeria,2019,53.009
NGA,Nigeria,2018,52.669
NGA,Nigeria,2017,52.397
NGA,Nigeria,2016,52.189
NGA,Nigeria,2015,51.939
TZA,Tanzania,2024,67.212
TZA,Tanzania,2023,66.995
TZA,Tanzania,2022,66.879
TZA,Tanzania,2021,66.131
TZA,Tanzania,2020,66.771
TZA,Tanzania,2019,66.007
TZA,Tanzania,2018,65.488
TZA,Tanzania,2017,64.963
TZA,Tanzania,2016,64.404
TZA,Tanzania,2015,63.928
UGA,Uganda,2024,68.487
UGA,Uganda,2023,68.252
UGA,Uganda,2022,67.675
UGA,Uganda,2021,66.45
UGA,Uganda,2020,66.41
UGA,Uganda,2019,66.354
UGA,Uganda,2018,65.775
UGA,Uganda,2017,65.174
UGA,Uganda,2016,64.494
UGA,Uganda,2015,63.831
USA,United States,2024,78.890243902439
USA,United States,2023,78.3853658536585
USA,United States,2022,77.4341463414634
USA,United States,2021,76.3292682926829
USA,United States,2020,76.9804878048781
USA,United States,2019,78.7878048780488
USA,United States,2018,78.6390243902439
USA,United States,2017,78.5390243902439
USA,United States,2016,78.5390243902439
USA,United States,2015,78.690243902439
ZAF,South Africa,2024,66.312
ZAF,South Africa,2023,66.139
ZAF,South Africa,2022,65.454
ZAF,South Africa,2021,62.01
ZAF,South Africa,2020,65.15
ZAF,South Africa,2019,66.071
ZAF,South Africa,2018,65.726
ZAF,South Africa,2017,65.422
ZAF,South Africa,2016,64.749
ZAF,South Africa,2015,64.053
ZMB,Zambia,2024,66.528
ZMB,Zambia,2023,66.349
ZMB,Zambia,2022,65.279
ZMB,Zambia,2021,62.363
ZMB,Zambia,2020,63.361
ZMB,Zambia,2019,62.914
ZMB,Zambia,2018,62.138
ZMB,Zambia,2017,61.564
ZMB,Zambia,2016,61.129
ZMB,Zambia,2015,60.728
